XJY-604,23/03/1990,01/10/2024 11:15,05/10/2024 20:10,5,310.00
BMC-69,17/04/1997,15/10/2024 14:01,19/10/2024 22:20,5,210.00
VIG-326,17/08/1978,13/10/2024 12:23,20/10/2024 14:03,8,344.00
KOL-99,11/11/1988,15/10/2024 14:45,22/10/2024 19:20,8,880.00
AJB-123,12/12/1985,20/10/2024 09:30,25/10/2024 18:45,6,390.00
TTC-513,30/06/1992,25/10/2024 10:05,28/10/2024 21:50,4,204.00
AJB-123,10/10/1991,06/11/2024 14:08,06/11/2024 18:36,0,0.0
JMB-535,16/05/2000,06/11/2024 19:44,09/11/2024 19:46,4,192.0
BKV-943,19/03/2006,06/11/2024 19:43,09/11/2024 19:48,4,140.0
BKV-943,07/07/1985,10/11/2024 23:32,13/11/2024 13:06,3,105.0
DKG-477,24/08/2004,13/11/2024 13:08,13/11/2024 13:08,1,52.0
DKG-477,24/08/2004,13/11/2024 13:09,13/11/2024 13:09,1,52.0
DKG-477,24/08/2004,13/11/2024 13:11,13/11/2024 13:11,1,52.00
DKG-477,24/08/2004,13/11/2024 13:12,13/11/2024 13:12,1,52.00
DKG-477,24/08/2004,13/11/2024 13:14,13/11/2024 13:14,1,52.0
DKG-477,24/08/2004,13/11/2024 13:15,13/11/2024 13:15,1,52.0
VIG-326,12/12/1985,16/11/2024 22:47,16/11/2024 22:49,1,43.00
KOL-99,19/03/2006,10/11/2024 23:31,16/11/2024 22:49,6,660.00
KOL-99,19/03/2006,18/11/2024 23:57,18/11/2024 23:57,1,110.00
KOL-99,19/03/2006,22/11/2024 19:26,22/11/2024 19:27,1,110.00
KOL-99,19/03/2006,30/11/2024 18:12,30/11/2024 18:12,1,110.00
KOL-99,19/03/2006,07/01/2025 19:00,07/01/2025 19:01,1,110.00
